"location","additionalcapacity_family","additionalcapacity_group","additionalcapacity_total","children_0to5","capacity","percentworking","percentworking_moe","keep","percentworking_lci","percentworking_uci","newcapacity_sb142","percentcapacity_0to5","newpercentcapacity_0to5","capacityincrease","percentcapacity_working","newpercentcapacity_working","capacityincrease_working"
"Dawson",12,24,36,587,157,0.705343511450382,0.198988981119311,1,0.50635453033107,0.904332492569693,193,0.267461669505963,0.328790459965928,0.0613287904599659,0.379193492481397,0.466142318782864,0.0869488263014669
"Deer Lodge",4,40,44,380,139,0.698895027624309,0.207746966795497,1,0.491148060828812,0.906641994419807,183,0.365789473684211,0.481578947368421,0.11578947368421,0.523382567089661,0.689057624297899,0.165675057208238
"Fallon",0,0,0,249,0,0.405940594059406,0.270031461679594,0,0.135909132379812,0.675972055739,0,0,0,0,0,0,0
"Fergus",8,16,24,708,185,0.852245862884161,0.178683143040372,1,0.673562719843789,1.03092900592453,209,0.261299435028249,0.295197740112994,0.0338983050847458,0.306601001433978,0.346376266484873,0.0397752650508945
"Flathead",52,312,364,7025,1665,0.575440194292653,0.070426829042524,1,0.505013365250129,0.645867023335177,2029,0.237010676156584,0.288825622775801,0.0518149466192171,0.411877165528772,0.501921182497224,0.0900440169684521
"Gallatin",88,344,432,7606,2440,0.60091109884042,0.0592961736394063,1,0.541614925201013,0.660207272479826,2872,0.320799368919274,0.377596634236129,0.0567972653168551,0.533854957144779,0.628373539721232,0.0945185825764526
"Garfield",0,8,8,86,12,0.693333333333333,0.338551674849217,0,0.354781658484117,1.03188500818255,20,0.13953488372093,0.232558139534884,0.0930232558139535,0.201252236135957,0.335420393559928,0.134168157423971
"Glacier",8,16,24,1518,102,0.482157018239492,0.124002060254449,1,0.358154957985044,0.606159078493941,126,0.0671936758893281,0.08300395256917,0.0158102766798419,0.139360567921781,0.172151289785729,0.0327907218639484
"Golden Valley",0,0,0,57,0,0.548387096774194,0.362178102871692,0,0.186208993902502,0.910565199645885,0,0,0,0,0,0,0
"Granite",0,16,16,138,26,0.706896551724138,0.372245156364313,0,0.334651395359825,1.07914170808845,42,0.188405797101449,0.304347826086957,0.115942028985507,0.266525273948392,0.430540827147402,0.16401555319901
"Hill",20,128,148,1760,404,0.601895734597156,0.131161513839209,1,0.470734220757947,0.733057248436365,552,0.229545454545455,0.313636363636364,0.0840909090909091,0.381370794559771,0.521080887616321,0.13971009305655
"Jefferson",0,8,8,686,285,0.757225433526012,0.180344206502983,1,0.576881227023029,0.937569640028994,293,0.415451895043732,0.427113702623907,0.0116618075801749,0.548650212538669,0.564050920259052,0.0154007077203837
